Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
ATMA,2020-06-06_08_53_57,Lectura 92,92,0.9692,0.7098,1,True,364,153.2,2020-06-06
ATMA,2020-06-06_08_54_01,Lectura 93,93,0.9881,0.8522,1,True,256,94.4,2020-06-06
ATMA,2020-06-06_08_54_26,Lectura 94,94,0.9142,0.7354,1,True,307,136.8,2020-06-06
ATMA,2020-06-06_08_56_02,Lectura 95,95,0.9479,0.8173,1,True,282,123.5,2020-06-06
ATMA,2020-06-06_08_56_03,Lectura 96,96,0.9505,0.8007,1,True,314,153.4,2020-06-06
ATMA,2020-06-06_08_59_12,Lectura 97,97,0.9516,0.8052,1,True,256,109.1,2020-06-06
ATMA,2020-06-06_08_59_13,Lectura 98,98,0.9644,0.8148,1,True,252,111.2,2020-06-06
ATMA,2020-06-06_09_00_01,Lectura 99,99,0.9426,0.7737,1,True,248,106.2,2020-06-06
ATMA,2020-06-06_09_00_03,Lectura 100,100,0.9553,0.7847,1,True,352,158.4,2020-06-06
LPJM,2020-05-27_03_59_43,Lectura 3,3,0.9705,0.7881,1,True,204,114.1,2020-05-27
LPJM,2020-05-27_05_12_27,Lectura 4,4,0.9882,0.8584,1,True,387,206.2,2020-05-27
LPJM,2020-05-27_06_56_07,Lectura 5,5,0.9603,0.8112,1,True,232,120.1,2020-05-27
LPJM,2020-05-27_08_31_29,Lectura 6,6,0.9432,0.7474,1,True,262,144.6,2020-05-27
LPJM,2020-05-27_08_36_38,Lectura 7,7,0.9427,0.7147,1,True,312,172.7,2020-05-27
LPJM,2020-05-27_09_34_40,Lectura 8,8,0.9668,0.8337,1,True,257,135.1,2020-05-27
LPJM,2020-05-27_09_40_28,Lectura 9,9,0.9645,0.8198,1,True,308,181.0,2020-05-27
LPJM,2020-05-27_09_43_21,Lectura 10,10,0.9441,0.8184,1,True,267,133.4,2020-05-27
LPJM,2020-05-27_10_10_06,Lectura 1,1,0.9686,0.7459,1,True,295,164.2,2020-05-27
LPJM,2020-05-27_11_10_05,Lectura 2,2,0.9127,0.7474,1,True,305,174.0,2020-05-27
LPJM,2020-05-28_06_13_35,Lectura 11,11,0.9632,0.796,1,True,311,168.2,2020-05-28
LPJM,2020-05-28_06_18_10,Lectura 12,12,0.9875,0.6664,1,True,266,123.8,2020-05-28
LPJM,2020-05-28_06_26_20,Lectura 13,13,0.9553,0.8047,1,True,282,135.9,2020-05-28
